bucket,trace_id,borrower_id,agent_name,resolution,resolution_confidence,debt_collected,compliance_violation,compliance_reason,tone_score,next_step_clarity,raw_transcript_turns
transcript_scores,mock-v2-e69620f3,mock-b-232,AssessmentAgent,0,0.0,0,0,,3,3,2
transcript_scores,trace-Res-patch-v1-20260425194941-000,BRW-AN-Res-20260425194941-000,ResolutionAgent,0,0.0,0,0,,3,3,2
transcript_scores,mock-v2-2d38593e,mock-b-225,AssessmentAgent,0,0.0,0,0,,3,3,2
transcript_scores,trace-Res-patch-v1-20260425194941-007,BRW-AN-Res-20260425194941-007,ResolutionAgent,0,0.0,0,0,,3,3,2
transcript_scores,trace-Res-patch-v1-20260425194941-009,BRW-AN-Res-20260425194941-009,ResolutionAgent,0,0.0,0,0,,3,3,2
transcript_scores,mock-v2-36437f86,mock-b-270,AssessmentAgent,0,0.0,0,0,,3,3,2
transcript_scores,trace-Res-patch-v1-20260425194941-003,BRW-AN-Res-20260425194941-003,ResolutionAgent,0,0.0,0,0,,3,3,2
transcript_scores,trace-Res-patch-v1-20260425194941-001,BRW-AN-Res-20260425194941-001,ResolutionAgent,0,0.0,0,0,,3,3,2
transcript_scores,trace-Res-patch-v1-20260425194941-004,BRW-AN-Res-20260425194941-004,ResolutionAgent,0,0.0,0,0,,3,3,2
transcript_scores,trace-Res-patch-v1-20260425194941-006,BRW-AN-Res-20260425194941-006,ResolutionAgent,0,0.0,0,0,,3,3,2
transcript_scores,mock-v2-fe229e10,mock-b-288,AssessmentAgent,0,0.0,0,0,,3,3,2
transcript_scores,mock-v2-07bb8115,mock-b-229,AssessmentAgent,0,0.0,0,0,,3,3,2
transcript_scores,mock-v2-aa3fea1d,mock-b-214,AssessmentAgent,0,0.0,0,0,,3,3,2
transcript_scores,mock-v2-852377d7,mock-b-245,AssessmentAgent,0,0.0,0,0,,3,3,2
transcript_scores,mock-v2-74f5064e,mock-b-272,AssessmentAgent,0,0.0,0,0,,3,3,2
transcript_scores,mock-v2-7af5cb8f,mock-b-254,AssessmentAgent,0,0.0,0,0,,3,3,2
transcript_scores,mock-v2-6ac7e466,mock-b-260,AssessmentAgent,0,0.0,0,0,,3,3,2
transcript_scores,mock-v2-4c79a7cc,mock-b-258,AssessmentAgent,0,0.0,0,0,,3,3,2
transcript_scores,trace-Res-patch-v1-20260425194941-005,BRW-AN-Res-20260425194941-005,ResolutionAgent,0,0.0,0,0,,3,3,2
transcript_scores,mock-v2-5ef71114,mock-b-284,AssessmentAgent,0,0.0,0,0,,3,3,2
transcript_scores,mock-v2-40ff3368,mock-b-238,AssessmentAgent,0,0.0,0,0,,3,3,2
transcript_scores,mock-v2-24e2e517,mock-b-218,AssessmentAgent,0,0.0,0,0,,3,3,2
transcript_scores,mock-v2-d7c05cfb,mock-b-251,AssessmentAgent,0,0.0,0,0,,3,3,2
transcript_scores,mock-v2-2733f3de,mock-b-240,AssessmentAgent,0,0.0,0,0,,3,3,2
held_out_scores,mock-v2-10c88842,mock-b-212,AssessmentAgent,0,0.0,0,0,,3,3,2
held_out_scores,trace-Res-patch-v1-20260425194941-002,BRW-AN-Res-20260425194941-002,ResolutionAgent,0,0.0,0,0,,3,3,2
held_out_scores,trace-Res-patch-v1-20260425194941-008,BRW-AN-Res-20260425194941-008,ResolutionAgent,0,0.0,0,0,,3,3,2
held_out_scores,mock-v2-1810ff87,mock-b-282,AssessmentAgent,0,0.0,0,0,,3,3,2
held_out_scores,mock-v2-f0c22269,mock-b-211,AssessmentAgent,0,0.0,0,0,,3,3,2
held_out_scores,mock-v2-338c8a81,mock-b-234,AssessmentAgent,0,0.0,0,0,,3,3,2
executed_v2_scores,mock-v2-e69620f3:v2_sim,mock-b-232,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,trace-Res-patch-v1-20260425194941-000:v2_sim,BRW-AN-Res-20260425194941-000,ResolutionAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-2d38593e:v2_sim,mock-b-225,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,trace-Res-patch-v1-20260425194941-007:v2_sim,BRW-AN-Res-20260425194941-007,ResolutionAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,trace-Res-patch-v1-20260425194941-009:v2_sim,BRW-AN-Res-20260425194941-009,ResolutionAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-36437f86:v2_sim,mock-b-270,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,trace-Res-patch-v1-20260425194941-003:v2_sim,BRW-AN-Res-20260425194941-003,ResolutionAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,trace-Res-patch-v1-20260425194941-001:v2_sim,BRW-AN-Res-20260425194941-001,ResolutionAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,trace-Res-patch-v1-20260425194941-004:v2_sim,BRW-AN-Res-20260425194941-004,ResolutionAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,trace-Res-patch-v1-20260425194941-006:v2_sim,BRW-AN-Res-20260425194941-006,ResolutionAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-fe229e10:v2_sim,mock-b-288,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-07bb8115:v2_sim,mock-b-229,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-aa3fea1d:v2_sim,mock-b-214,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-852377d7:v2_sim,mock-b-245,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-74f5064e:v2_sim,mock-b-272,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-7af5cb8f:v2_sim,mock-b-254,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-6ac7e466:v2_sim,mock-b-260,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-4c79a7cc:v2_sim,mock-b-258,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,trace-Res-patch-v1-20260425194941-005:v2_sim,BRW-AN-Res-20260425194941-005,ResolutionAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-5ef71114:v2_sim,mock-b-284,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-40ff3368:v2_sim,mock-b-238,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-24e2e517:v2_sim,mock-b-218,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-d7c05cfb:v2_sim,mock-b-251,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-2733f3de:v2_sim,mock-b-240,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-10c88842:v2_sim,mock-b-212,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,trace-Res-patch-v1-20260425194941-002:v2_sim,BRW-AN-Res-20260425194941-002,ResolutionAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,trace-Res-patch-v1-20260425194941-008:v2_sim,BRW-AN-Res-20260425194941-008,ResolutionAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-1810ff87:v2_sim,mock-b-282,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-f0c22269:v2_sim,mock-b-211,AssessmentAgent,1,0.85,1,0,,4,4,22
executed_v2_scores,mock-v2-338c8a81:v2_sim,mock-b-234,AssessmentAgent,1,0.85,1,0,,4,4,22
